race,name,draw_x,or_x,rpr_x,lbs_x,age_x,dist_f_x,class,going_x,prize_x,trainer_x,jockey_x,trainer_rtf,jockey_rtf,form_score,days_since_run,headgear_type,draw_bias_rank,confidence,bf_sp,Race Time,Course,Horse,Confidence,Odds,odds_delta,Date,Stake,date,region,Race Name,Race Type,Class,pattern,Rating Band,age_band,sex_rest,dist,dist_f_y,dist_m,going_y,ran,Runners,Position,draw_y,ovr_btn,btn,age_y,sex,lbs_y,hg,time,secs,dec,jockey_y,trainer_y,prize_y,or_y,rpr_y,sire,dam,damsire,owner,comment,Profit,Mode
5:00 Carlisle,Heavenly Heather,2,-1,92.0,135,4,8.0,Class 4,Good To Firm,5496.0,Tracy Waggott,Amie Waugh(3),50,-1,21.0,31.0,0,0.3333333333333333,0.989328920841217,12.0,5:00,carlisle,heavenly heather,0.989328920841217,12.0,0.0,2025-05-19,1.0,2025-05-19,GB,pricedup.bet Fillies Handicap (A Jockey Club Grassroots Mile Series Qualifier),Flat,Class 4,,0-85,4yo+,F,1m,8f,1566.0,Good To Firm,6.0,1.0,4,2.0,5,2.5,4.0,F,132.0,,1:39.40,99.40,29.0,Amie Waugh,Tracy Waggott,644.70,81,–,Shamardal (USA),Right Direction (IRE),Cape Cross,S Rain,Took keen hold - prominent - pressed leader from 2f out - weakening when slightly hampered inside final furlong(op 12/1),0.0,advised
5:10 Roscommon,Letters Of Love,2,-1,71.0,125,3,7.5,,Good,7080.0,Joseph Patrick Obrien,Wayne Hassett(5),54,-1,-8.0,12.0,0,0.15384615384615385,0.957267165184021,10.5,5:10,roscommon,letters of love,0.957267165184021,10.5,0.0,2025-05-19,1.0,2025-05-19,IRE,Roscommon Claiming Maiden,Flat,,,,3yo,,7½f,7.5f,1494.0,Good,12.0,7.0,3,2.0,4.5,2,3.0,F,120.0,,1:33.79,93.79,6.0,Wayne Hassett,Joseph Patrick OBrien,€1080,50,–,Calyx (GB),Aqua De Vida (IRE),Fastnet Rock,Mrs A M Obrien,Prominent - bit short of room 2f out - not clear run and switched left 1f out - went third final 110yds - kept on(op 11/1),0.0,advised
5:15 Redcar,I Can Boogy,11,-1,67.0,126,3,7.0,Class 6,Good To Firm,3140.0,Nigel Tinkler,Faye Mcmanoman,35,-1,23.0,18.0,0,0.9166666666666666,0.9642261266708374,20.0,5:15,redcar,i can boogy,0.9642261266708374,20.0,0.0,2025-05-19,1.0,2025-05-19,GB,racingtv.com Handicap,Flat,Class 6,,0-60,3yo,,7f,7f,1408.0,Good To Firm,10.0,10.0,1,11.0,0,0,3.0,F,126.0,,1:24.74,84.74,13.0,Faye McManoman,Nigel Tinkler,3140.40,51,–,Twilight Son (GB),Accolade GB,Acclamation,D Caslin P Wilcock,Held up in midfield - switched right and headway towards near side over 1f out - soon ridden - kept on and led towards finish(op 11/1 tchd 10/1),11.0,advised
5:20 Windsor,Faustus,6,-1,84.0,135,7,5.0,Class 5,Good To Firm,4397.0,Rachel Cook & John Bridger,Hollie Doyle,60,-1,21.0,27.0,0,0.8571428571428571,0.9795709848403931,27.0,5:20,windsor,faustus,0.9795709848403931,27.0,0.0,2025-05-19,1.0,2025-05-19,GB,Weekend Winners On At The Races Handicap,Flat,Class 5,,0-75,4yo+,,5f,5f,1025.0,Good To Firm,7.0,2.0,4,6.0,3,1.75,7.0,G,135.0,p,1:0.68,60.68,13.0,Hollie Doyle,Rachel Cook & John Bridger,515.76,75,–,Mayson (GB),Israfel GB,Dark Angel,P Cook,Prominent - led after 1f - headed 1f out - soon weakened gradually(op 17/2),0.0,advised
5:30 Carlisle,Harry Palmer,11,-1,64.0,126,3,8.0,Class 6,Good To Firm,3402.0,Kevin Ryan,Shane Gray,45,-1,2.0,18.0,1,1.0,0.993124783039093,9.0,5:30,carlisle,harry palmer,0.993124783039093,9.0,0.0,2025-05-19,1.0,2025-05-19,GB,PricedUp Daily Sports Boosts Handicap (A Jockey Club Grassroots Mile Series Qualifier),Flat,Class 6,,0-58,3yo,,1m,8f,1566.0,Good To Firm,11.0,8.0,5,11.0,2.75,.75,3.0,G,126.0,b,1:41.53,101.53,11.0,Shane Gray,Kevin Ryan,198.90,48,–,Harry Angel (IRE),Undeniable GB,Kyllachy,Allan Kerr Partner,Took keen hold - in touch with leaders on outer - headway and pressed leader from under 4f out - weakened gradually inside final furlong(op 9/1),0.0,advised
5:40 Roscommon,Divelment,8,-1,81.0,131,2,7.5,,Good,12390.0,Jack W Davison,James Ryan(3),50,-1,0.0,7.0,0,0.8888888888888888,0.9560968279838562,3.55,5:40,roscommon,divelment,0.9560968279838562,3.55,0.0,2025-05-19,1.0,2025-05-19,IRE,Irish EBF Auction Series Maiden (IRE Incentive Race),Flat,,,,2yo,,7½f,7.5f,1494.0,Good,9.0,1.0,3,8.0,10,0.1,2.0,C,128.0,,1:34.57,94.57,3.5,James Ryan,Jack W Davison,€1890,–,–,Cotai Glory (GB),Malmoosa (IRE),Shamardal,Big Tree Syndicate Partner,Took keen hold - soon prominent - went second halfway - lost ground and no chance with winner from over 1f out - lost second post(op 2/1),-1.0,advised
5:50 Windsor,Canyouhearthedrums,11,-1,82.0,128,2,6.0,Class 2,Good To Firm,20616.0,Eve Johnson Houghton,Rhys Clutterbuck,18,-1,-5.0,10.0,0,0.9166666666666666,0.9251458048820496,9.8,5:50,windsor,canyouhearthedrums,0.9251458048820496,9.8,0.0,2025-05-19,1.0,2025-05-19,GB,Juddmonte EBF Restricted Maiden Stakes (Band D) (EBF Restricted Race Qualifier) (GBB Race),Flat,Class 2,,,2yo,,6f,6f,1218.0,Good To Firm,12.0,9.0,9,11.0,4.5,0.05,2.0,F,128.0,,1:14.51,74.51,13.0,Rhys Clutterbuck,Eve Johnson Houghton,,–,–,Lope Y Fernandez (IRE),Dawreya (IRE),Acclamation,Mrs R F Johnson Houghton,Took keen hold - midfield on outer - some headway 2f out - up the centre and weakened inside final 110yds(tchd 14/1),0.0,advised
6:10 Roscommon,Carrickfinn,5,-1,63.0,122,6,7.5,,Good,6490.0,Shane Gallagher,Adam Caffrey,,-1,-4.0,45.0,1,0.38461538461538464,0.9407947659492493,65.0,6:10,roscommon,carrickfinn,0.9407947659492493,65.0,0.0,2025-05-19,1.0,2025-05-19,IRE,McGowan Accountancy Services Handicap,Flat,,,0-60,4yo+,,7½f,7.5f,1494.0,Good,12.0,13.0,9,5.0,14.5,3.25,6.0,G,124.0,tb,1:34.17,94.17,17.0,Adam Caffrey,Shane Gallagher,,42,–,Gutaifan (IRE),Kekova GB,Montjeu,Shane Gallagher,In rear throughout(tchd 18/1),0.0,advised
6:20 Windsor,Blue Bolt,4,-1,81.0,128,3,8.0,Class 2,Good To Firm,20616.0,Andrew Balding,Oisin Murphy,70,-1,0.0,43.0,0,0.6666666666666666,0.9721859693527222,5.0,6:20,windsor,blue bolt,0.9721859693527222,5.0,0.0,2025-05-19,1.0,2025-05-19,GB,British Stallion Studs EBF Fillies Novice Stakes (GBB Race),Flat,Class 2,,,3yo+,F,1m,8f,1638.0,Good To Firm,6.0,3.0,1,4.0,0,0,3.0,F,128.0,,1:42.68,102.68,4.33,Oisin Murphy,Andrew Balding,20616,–,–,Blue Point (IRE),Mayhem (IRE),Whipper,Juddmonte,Made all - pushed along and went clear inside final furlong - comfortably(tchd 3/1 and tchd 18/5),2.0,advised
6:40 Roscommon,Mocking,3,-1,74.0,133,3,10.5,,Good,7080.0,J P Murtagh,Ben Coen,54,-1,-2.0,30.0,0,0.6,0.8886240124702454,3.15,6:40,roscommon,mocking,0.8886240124702454,3.15,0.0,2025-05-19,1.0,2025-05-19,IRE,JTW Distribution Roscommon Maiden,Flat,,,,3yo+,,1m2½f,10.5f,2069.0,Good,4.0,4.0,2,3.0,7.5,7.5,3.0,G,133.0,p,2:14.13,134.13,1.62,Ben Coen,J P Murtagh,€2280,85,–,Tamayuz (GB),Moqla GB,Teofilo,O T I Racing,Led - headed over 1f out - soon no chance with winner(op 8/15 tchd 1/2 and 4/6),-1.0,advised
7:10 Roscommon,Chavajod,5,-1,82.0,139,7,10.5,,Good,7670.0,D P Coakley,Ross Coakley,,-1,19.0,24.0,0,0.5,0.9696425795555115,7.8,7:10,roscommon,chavajod,0.9696425795555115,7.8,0.0,2025-05-19,1.0,2025-05-19,IRE,Abbey Hotel Roscommon Handicap,Flat,,,,3yo+,,1m2½f,10.5f,2069.0,Good,10.0,3.0,7,5.0,8.5,2.5,7.0,G,139.0,p,2:15.07,135.07,9.0,Ross Coakley,D P Coakley,,74,–,Toronado (IRE),Deire Na Sli (IRE),Aussie Rules,D P Coakley J F Costello A Connick P Coakley,Raced in second - outpaced and lost second over 2f out - weakening when bit short of room over 1f out(op 9/1),0.0,advised
7:20 Windsor,Fast Steps,2,-1,91.0,134,7,11.5,Class 4,Good To Firm,5653.0,Rod Millman,Oisin Murphy,45,-1,-3.0,21.0,0,0.16666666666666666,0.9765125513076782,22.0,7:20,windsor,fast steps,0.9765125513076782,22.0,0.0,2025-05-19,1.0,2025-05-19,GB,Knightsbridge Circle Handicap (GBBplus Race),Flat,Class 4,,0-78,4yo+,,1m3½f,11.5f,2303.0,Good To Firm,12.0,6.0,3,2.0,1.75,1,7.0,G,134.0,,2:27.04,147.04,8.0,Oisin Murphy,Rod Millman,1325.16,77,–,Footstepsinthesand (GB),Inis Boffin GB,Danehill Dancer,Eric Gadsden,Prominent - short of room over 1f out - challenging and bumped rival final 110yds - no extra towards finish(op 13/2),0.0,advised
7:30 Wolverhampton (AW),Invincible Ruby,8,-1,77.0,126,3,6.0,Class 5,Standard,3888.0,Iain Jardine,Mohammed Tabti(5),50,-1,1.0,7.0,0,0.7272727272727273,0.9432246685028076,16.0,7:30,wolverhampton (aw),invincible ruby,0.9432246685028076,16.0,0.0,2025-05-19,1.0,2025-05-19,GB,Enjoy Summer Racing At Wolverhampton Racecourse Restricted Maiden Stakes (Bands C & D) (GBB Race),Flat,Class 5,,,3-5yo,,6f,6f,1225.0,Standard,11.0,10.0,7,8.0,12.25,1.25,3.0,F,121.0,,1:14.68,74.68,29.0,Mohammed Tabti,Iain Jardine,,–,–,Invincible Army (IRE),Satwa Ruby (FR),Verglas,Duncan Mccready,In touch with leaders - weakened from 2f out(op 25/1 tchd 20/1),0.0,advised
7:40 Roscommon,Ozark Daze,5,-1,90.0,137,4,12.0,,Good,7670.0,Jack W Davison,James Ryan(3),50,-1,0.0,10.0,0,0.5555555555555556,0.9605146050453186,9.8,7:40,roscommon,ozark daze,0.9605146050453186,9.8,0.0,2025-05-19,1.0,2025-05-19,IRE,Garveys Bar Ballintubber Handicap,Flat,,,,4yo+,,1m4f,12f,2430.0,Good,7.0,3.0,4,5.0,1.25,.5,4.0,G,134.0,,2:36.96,156.96,6.0,James Ryan,Jack W Davison,€520,77,–,Oasis Dream (GB),Voleuse De Coeurs (IRE),Teofilo,William Armitage,Towards rear but in touch with leaders - headway when not clear run repeatedly from over 2f out - not recover(op 13/2 tchd 15/2),0.0,advised
7:50 Windsor,Epimeteo,2,-1,81.0,135,3,11.5,Class 5,Good To Firm,4397.0,Marco Botti,Connor Planas(3),48,-1,17.0,11.0,0,0.2857142857142857,0.9838694930076599,17.0,7:50,windsor,epimeteo,0.9838694930076599,17.0,0.0,2025-05-19,1.0,2025-05-19,GB,Follow Fitzdares On Instagram & X Handicap,Flat,Class 5,,0-75,3yo,,1m3½f,11.5f,2303.0,Good To Firm,7.0,1.0,7,2.0,4.25,.75,3.0,C,132.0,p,2:30.02,150.02,23.0,Connor Planas,Marco Botti,,75,–,Time Test (GB),Capla Ishtar (IRE),Moohaajim,Manfredini Partner,Towards rear throughout(tchd 18/1),0.0,advised
8:00 Wolverhampton (AW),Medinilla,5,-1,64.0,135,3,6.0,Class 5,Standard,3978.0,Jack Channon,George Bass,50,-1,55.0,233.0,0,0.4166666666666667,0.9790960550308228,4.3,8:00,wolverhampton (aw),medinilla,0.9790960550308228,4.3,0.0,2025-05-19,1.0,2025-05-19,GB,Sky Sports Racing Sky 415 Fillies Handicap,Flat,Class 5,,0-68,3yo+,F,6f,6f,1225.0,Standard,12.0,5.0,1,5.0,0,0,3.0,F,135.0,,1:14.27,74.27,3.25,George Bass,Jack Channon,3977.84,68,–,Rumble Inthejungle (IRE),Charming Guest (IRE),Kodiac,M Channon,Prominent early - in touch with leaders after 2f - headway from over 1f out - led and kept on final 110yds(op 2/1 tchd 6/4),3.3,advised
8:10 Roscommon,Enziya,5,-1,74.0,131,3,12.0,,Good,6785.0,R P Cody,W J Lee,50,-1,-2.0,15.0,0,0.3333333333333333,0.9687605500221252,2.96,8:10,roscommon,enziya,0.9687605500221252,2.96,0.0,2025-05-19,1.0,2025-05-19,IRE,Racing Again Here On June 9th Handicap,Flat,,,,3yo,,1m4f,12f,2430.0,Good,15.0,11.0,3,5.0,4.75,2.75,3.0,G,131.0,tp,2:38.36,158.36,9.0,W J Lee,R P Cody,€1035,62,–,Night Of Thunder (IRE),Eshtiya (IRE),Dark Angel,Ballygallon Stud Ireland Limited,In rear - headway over 3f out - went second over 1f out - no extra and lost second inside final furlong(op 15/2),-1.0,advised
8:30 Wolverhampton (AW),Rock N Roll Rocket,8,-1,80.0,135,3,5.0,Class 5,Standard,3978.0,David Loughnane,Richard Kingscote,42,-1,-1.0,9.0,0,0.8888888888888888,0.9831985831260681,8.2,8:30,wolverhampton (aw),rock n roll rocket,0.9831985831260681,8.2,0.0,2025-05-19,1.0,2025-05-19,GB,attheraces.com/marketmovers Handicap,Flat,Class 5,,0-72,3yo,,5f,5f,1025.0,Standard,8.0,1.0,1,8.0,0,0,3.0,G,135.0,,1:0.79,60.79,6.5,Richard Kingscote,David Loughnane,3977.84,70,–,Far Above (IRE),California Tee GB,Kheleyf,Martin Downes Partners,Ducked right start - in touch with leaders - headway and prominent over 1f out - ran on inside final furlong - led towards finish (trainer said - regarding the apparent improvement in form - that gelding was suited by a sharp turning track)(op 4/1),3.6,advised
9:00 Wolverhampton (AW),Novak,6,-1,86.0,135,6,7.0,Class 5,Standard,3978.0,Iain Jardine,Archie Young(5),50,-1,19.666666666666664,30.0,0,0.6,0.9703829288482666,5.8,9:00,wolverhampton (aw),novak,0.9703829288482666,5.8,0.0,2025-05-19,1.0,,,,,,,,,,,,,,,,NR,,,,,,,,,,,,,,,,,,,,,0.0,advised
